Hotel_Name,Hotel_Address,Review_Count,Non_Review_Scoring_Count,Average_Hotel_Score,avg_hotel_feature,avg_room,avg_hotel,avg_breakfast,avg_staff,avg_bed,avg_location
Hotel Design Secret de Paris,2 Rue De Parme 9th arr 75009 Paris France,618,54,9.2,8.208269870691353,7.902288260519968,7.763522227279623,8.142855337007637,8.665340290817962,6.2095831215048305,8.160777818672555
Banks Mansion All Inclusive Hotel,Herengracht 519 525 Amsterdam City Center 1017 BV Amsterdam Netherlands,803,141,9.2,8.172885825871951,7.39876642544962,7.9194632963856755,8.472539623767029,8.538825276231899,6.603520589730554,8.436335956344656
Le 123 Elysees Astotel,123 Rue Du Faubourg Saint Honor 8th arr 75008 Paris France,171,25,9.2,8.153158912031179,7.855411517735408,7.881573831740251,7.884557345654042,8.81058023148583,7.15118200305033,8.209719374193059
H tel Moli re,21 rue Moli re 1st arr 75001 Paris France,579,87,9.2,8.13707540422439,7.903114912658921,8.058049774026104,8.240205794609901,8.59145328623103,5.710663446873411,8.204930139048004
The Harmonie Vienna,Harmoniegasse 5 7 09 Alsergrund 1090 Vienna Austria,1083,101,9.2,8.130903763067765,7.9001786549121755,7.872654630051079,8.307862578464162,8.523864470542984,6.012537221294211,7.948821834645265
Hotel Indigo London Tower Hill,142 Minories City of London London EC3N 1LS United Kingdom,781,189,9.2,8.114132664494578,8.109632659473593,7.7440354270975575,7.32017631840928,8.57369172856295,6.242822751876552,8.368622428431042
La Maison Favart,5 Rue Marivaux 2nd arr 75002 Paris France,489,76,9.2,8.111965367750276,7.667475526796084,8.215410821919697,7.782202109071705,8.554615874899872,,8.130135566188198
Hotel Le 10 BIS,10 Bis rue du D barcad re 17th arr 75017 Paris France,196,26,9.2,8.111563509460458,8.325174016696035,7.895109492742628,8.614931486069677,8.480692534256965,5.08229537366548,8.358572567783096
Sixtytwo Hotel,Passeig de Gracia 62 Eixample 08007 Barcelona Spain,1010,129,9.2,8.108157758902648,7.983107667124955,8.03280851798346,8.44330594724933,8.539869992898696,5.630990895225771,8.311448009227615
Appartement Hotel an der Riemergasse,Riemergasse 8 01 Innere Stadt 1010 Vienna Austria,969,94,9.2,8.092067727808038,7.747481358043394,7.4551884373753206,6.725999704396328,8.656785331773955,6.243232079308592,8.34408685310455
Hotel Berna,Via Napo Torriani 18 Central Station 20124 Milan Italy,4017,384,9.2,8.08109725709025,7.884984561327479,7.7427225346973865,8.380357924126406,8.52874400080832,6.304098881545501,8.06290183029038
